id,Name,web_name,Team number,Team,Team games,Played
322,Mohamed Elyounoussi,Elyounoussi,16,Southampton,29,0
323,Stuart Armstrong,Armstrong,16,Southampton,29,21
324,Mario Lemina,Lemina,16,Southampton,29,0
325,Pierre-Emile Højbjerg,Højbjerg,16,Southampton,29,28
326,Tyreke Johnson,Johnson,16,Southampton,29,0
327,Callum Slattery,Slattery,16,Southampton,29,0
328,Oriol Romeu Vidal,Oriol Romeu,16,Southampton,29,22
337,Kyle Walker-Peters,Walker-Peters,16,Southampton,29,4
437,Che Adams,Adams,16,Southampton,29,22
438,Moussa Djenepo,Djenepo,16,Southampton,29,18
485,Wesley Hoedt,Hoedt,16,Southampton,29,0
508,Sofiane Boufal,Boufal,16,Southampton,29,19
532,Kevin Danso,Danso,16,Southampton,29,6
535,Daniel N'Lundulu,N'Lundulu,16,Southampton,29,0
548,Harry Lewis,Lewis,16,Southampton,29,0
584,William Smallbone,Smallbone,16,Southampton,29,2
329,Ben Davies,Davies,17,Spurs,29,9
330,Jan Vertonghen,Vertonghen,17,Spurs,29,19
331,Toby Alderweireld,Alderweireld,17,Spurs,29,27
333,Davinson Sanchez,Sanchez,17,Spurs,29,22
334,Kieran Trippier,Trippier,17,Spurs,29,0
